"","Municipio","Año","Subtipo.de.delito","ene","feb","mar","abr","may","jun","jul","ago","sep","oct","nov","dic","Total"
"20","Estado de Jalisco",2017,"Hostigamiento sexual",18,23,24,7,6,11,3,3,3,8,5,5,116
"21","Estado de Jalisco",2017,"Violación equiparada",0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Estado de Jalisco",2017,"Violación simple",36,26,59,38,44,47,42,49,31,35,29,31,467
"23","Estado de Jalisco",2017,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Estado de Jalisco",2017,"Violencia familiar",733,649,823,644,897,942,840,937,838,826,820,608,9557
"25","Estado de Jalisco",2018,"Abuso sexual",174,134,188,191,204,173,186,216,176,168,193,153,2156
"26","Estado de Jalisco",2018,"Acoso sexual",26,20,30,29,24,33,17,15,25,27,18,20,284
"27","Estado de Jalisco",2018,"Feminicidio",5,5,3,4,2,2,3,0,2,0,2,5,33
"28","Estado de Jalisco",2018,"Hostigamiento sexual",1,1,9,6,5,6,8,7,7,6,8,1,65
"29","Estado de Jalisco",2018,"Violación equiparada",2,0,0,0,0,0,0,0,0,0,0,0,2
"30","Estado de Jalisco",2018,"Violación simple",33,34,43,31,30,39,31,32,21,34,31,31,390
"31","Estado de Jalisco",2018,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Estado de Jalisco",2018,"Violencia familiar",778,709,845,883,904,849,826,689,647,683,529,508,8850
"33","Estado de Jalisco",2019,"Abuso sexual",215,175,221,229,286,198,176,226,181,180,166,170,2423
"34","Estado de Jalisco",2019,"Acoso sexual",19,16,22,17,30,35,26,34,22,24,19,28,292
"35","Estado de Jalisco",2019,"Feminicidio",5,7,5,3,4,4,6,7,4,6,5,9,65
"36","Estado de Jalisco",2019,"Hostigamiento sexual",5,9,2,7,7,10,6,7,2,5,7,7,74
"37","Estado de Jalisco",2019,"Violación equiparada",0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Estado de Jalisco",2019,"Violación simple",23,38,40,32,30,40,48,38,32,45,48,32,446
"39","Estado de Jalisco",2019,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Estado de Jalisco",2019,"Violencia familiar",686,685,841,938,1169,1026,1062,1134,951,1001,782,779,11054
"41","Estado de Jalisco",2020,"Abuso sexual",161,199,220,176,176,183,165,179,188,184,161,145,2137
"42","Estado de Jalisco",2020,"Acoso sexual",18,26,31,10,18,24,21,28,24,26,18,19,263
"43","Estado de Jalisco",2020,"Feminicidio",4,3,6,8,6,3,2,4,5,9,6,12,68
"44","Estado de Jalisco",2020,"Hostigamiento sexual",3,10,8,3,7,2,2,7,4,5,4,5,60
"45","Estado de Jalisco",2020,"Violación equiparada",0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Estado de Jalisco",2020,"Violación simple",29,37,37,26,27,24,19,25,36,36,32,41,369
"47","Estado de Jalisco",2020,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Estado de Jalisco",2020,"Violencia familiar",778,943,1095,965,1116,1198,1106,999,941,1026,858,867,11892
"49","Estado de Jalisco",2021,"Abuso sexual",163,165,241,224,206,206,207,202,199,196,183,186,2378
"50","Estado de Jalisco",2021,"Acoso sexual",12,25,35,37,17,18,17,19,28,15,31,23,277
"51","Estado de Jalisco",2021,"Feminicidio",4,7,8,9,14,8,1,6,2,4,4,6,73
"52","Estado de Jalisco",2021,"Hostigamiento sexual",0,17,8,13,6,3,5,5,5,6,6,5,79
"53","Estado de Jalisco",2021,"Violación equiparada",0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Estado de Jalisco",2021,"Violación simple",29,38,46,57,45,38,47,32,48,45,50,42,517
"55","Estado de Jalisco",2021,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Estado de Jalisco",2021,"Violencia familiar",890,913,1300,1275,1173,1067,980,986,926,1122,1011,977,12620
"57","Estado de Jalisco",2022,"Abuso sexual",160,202,254,255,259,223,272,0,0,0,0,0,1625
"58","Estado de Jalisco",2022,"Acoso sexual",11,24,29,40,44,34,22,0,0,0,0,0,204
"59","Estado de Jalisco",2022,"Feminicidio",5,3,3,1,3,2,0,0,0,0,0,0,17
"60","Estado de Jalisco",2022,"Hostigamiento sexual",9,2,10,3,12,5,5,0,0,0,0,0,46
"61","Estado de Jalisco",2022,"Violación equiparada",0,0,0,0,2,1,5,0,0,0,0,0,8
"62","Estado de Jalisco",2022,"Violación simple",26,37,47,45,54,28,32,0,0,0,0,0,269
"63","Estado de Jalisco",2022,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Estado de Jalisco",2022,"Violencia familiar",915,909,1222,1153,1272,1079,1042,0,0,0,0,0,7592
"65","Acatic",2015,"Abuso sexual",0,0,0,2,1,0,0,0,0,0,1,0,4
"66","Acatlán de Juárez",2015,"Abuso sexual",1,0,1,0,0,1,1,0,0,0,0,0,4
"67","Ahualulco de Mercado",2015,"Abuso sexual",0,0,0,2,0,0,0,0,0,0,0,1,3
"68","Amacueca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Amatitán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Ameca",2015,"Abuso sexual",3,2,0,1,2,0,1,1,2,1,0,0,13
"71","Arandas",2015,"Abuso sexual",1,2,1,0,0,1,0,0,0,2,2,2,11
"72","Atemajac de Brizuela",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,1,0,0,2
"73","Atengo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Atenguillo",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"75","Atotonilco el Alto",2015,"Abuso sexual",0,0,0,2,1,2,0,1,1,0,0,1,8
"76","Atoyac",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"77","Autlán de Navarro",2015,"Abuso sexual",4,2,1,0,1,2,1,1,1,1,0,0,14
"78","Ayotlán",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"79","Ayutla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,1,0,2
"80","Bolaños",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Cabo Corrientes",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,1,0,0,2
"82","Cañadas de Obregón",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"83","Casimiro Castillo",2015,"Abuso sexual",0,0,0,0,2,2,1,1,0,1,0,0,7
"84","Chapala",2015,"Abuso sexual",0,0,3,0,2,1,1,0,0,2,1,0,10
"85","Chimaltitán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"86","Chiquilistlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"87","Cihuatlán",2015,"Abuso sexual",0,2,0,2,1,2,0,1,1,3,0,0,12
"88","Cocula",2015,"Abuso sexual",1,0,0,0,1,1,0,1,0,0,0,0,4
"89","Colotlán",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,1,2
"90","Concepción de Buenos Aires",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"91","Cuautitlán de García Barragán",2015,"Abuso sexual",1,0,0,0,0,1,0,2,1,0,0,0,5
"92","Cuautla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"93","Cuquío",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,1,2
"94","Degollado",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"95","Ejutla",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"96","El Arenal",2015,"Abuso sexual",0,0,0,0,1,0,1,0,0,0,0,1,3
"97","El Grullo",2015,"Abuso sexual",1,0,0,0,0,1,1,0,0,0,0,2,5
"98","El Limón",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"99","El Salto",2015,"Abuso sexual",0,5,4,3,0,3,5,7,5,7,1,4,44
"100","Encarnación de Díaz",2015,"Abuso sexual",0,0,0,0,0,1,1,0,1,1,1,0,5
"101","Etzatlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"102","Gómez Farías",2015,"Abuso sexual",0,0,1,0,0,0,0,0,0,0,0,1,2
"103","Guachinango",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"104","Guadalajara",2015,"Abuso sexual",11,20,22,19,18,13,14,22,29,49,42,30,289
"105","Hostotipaquillo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"106","Huejúcar",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"107","Huejuquilla el Alto",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"108","Ixtlahuacán de los Membrillos",2015,"Abuso sexual",1,0,3,2,1,3,1,2,2,1,4,0,20
"109","Ixtlahuacán del Río",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,0,0,0,1
"110","Jalostotitlán",2015,"Abuso sexual",0,0,1,1,0,1,2,0,0,0,0,1,6
"111","Jamay",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,2,2
"112","Jesús María",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"113","Jilotlán de los Dolores",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"114","Jocotepec",2015,"Abuso sexual",0,1,0,0,1,1,1,0,1,1,1,0,7
"115","Juanacatlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,1,2
"116","Juchitlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"117","La Barca",2015,"Abuso sexual",0,0,1,0,0,0,0,0,1,0,0,0,2
"118","La Huerta",2015,"Abuso sexual",0,2,0,1,0,0,0,1,0,0,0,0,4
"119","La Manzanilla de la Paz",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"120","Lagos de Moreno",2015,"Abuso sexual",4,3,2,5,2,1,5,1,0,2,0,1,26
"121","Magdalena",2015,"Abuso sexual",1,1,0,0,0,0,0,0,0,0,0,0,2
"122","Mascota",2015,"Abuso sexual",0,0,0,0,0,1,0,1,0,0,0,1,3
"123","Mazamitla",2015,"Abuso sexual",0,0,0,0,0,1,1,0,1,1,0,0,4
"124","Mexticacán",2015,"Abuso sexual",0,0,0,1,0,0,0,0,0,0,0,0,1
"125","Mezquitic",2015,"Abuso sexual",0,0,1,0,0,0,1,0,0,0,2,0,4
"126","Mixtlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"127","No Especificado",2015,"Abuso sexual",3,2,7,1,2,0,0,1,2,7,6,5,36
"128","Ocotlán",2015,"Abuso sexual",2,0,0,4,0,3,3,0,2,3,2,2,21
"129","Ojuelos de Jalisco",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"130","Pihuamo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"131","Poncitlán",2015,"Abuso sexual",3,0,1,0,1,0,0,1,1,0,0,0,7
"132","Puerto Vallarta",2015,"Abuso sexual",11,6,15,6,10,8,8,7,9,10,4,8,102
"133","Quitupan",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"134","San Cristóbal de la Barranca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"135","San Diego de Alejandría",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"136","San Gabriel",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"137","San Ignacio Cerro Gordo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,1,0,0,0,2
"138","San Juan de los Lagos",2015,"Abuso sexual",0,2,2,2,0,0,0,1,0,0,1,0,8
"139","San Juanito de Escobedo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,0,0,1
"140","San Julián",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"141","San Marcos",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"142","San Martín de Bolaños",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"143","San Martín Hidalgo",2015,"Abuso sexual",0,0,0,0,1,0,0,0,0,1,0,0,2
"144","San Miguel el Alto",2015,"Abuso sexual",0,0,1,0,1,0,0,1,2,1,3,0,9
"145","San Pedro Tlaquepaque",2015,"Abuso sexual",13,3,10,10,10,10,7,7,11,16,17,20,134
"146","San Sebastián del Oeste",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"147","Santa María de los Ángeles",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"148","Santa María del Oro",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"149","Sayula",2015,"Abuso sexual",0,0,0,1,0,0,1,2,0,1,1,0,6
"150","Tala",2015,"Abuso sexual",1,1,2,4,1,3,2,2,1,0,1,1,19
"151","Talpa de Allende",2015,"Abuso sexual",0,0,0,1,2,1,0,0,1,0,0,1,6
"152","Tamazula de Gordiano",2015,"Abuso sexual",1,1,1,1,0,1,1,0,1,1,0,1,9
"153","Tapalpa",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"154","Tecalitlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"155","Techaluta de Montenegro",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"156","Tecolotlán",2015,"Abuso sexual",1,0,0,1,0,0,0,0,0,0,0,0,2
"157","Tenamaxtlán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"158","Teocaltiche",2015,"Abuso sexual",0,0,0,1,0,0,1,0,1,0,0,0,3
"159","Teocuitatlán de Corona",2015,"Abuso sexual",0,0,0,0,0,0,0,0,1,0,1,0,2
"160","Tepatitlán de Morelos",2015,"Abuso sexual",3,0,2,3,3,2,1,2,4,1,5,1,27
"161","Tequila",2015,"Abuso sexual",0,0,0,0,0,0,4,1,1,2,0,1,9
"162","Teuchitlán",2015,"Abuso sexual",1,0,0,0,0,0,0,0,2,0,0,0,3
"163","Tizapán el Alto",2015,"Abuso sexual",0,0,0,0,2,1,0,0,1,0,0,0,4
"164","Tlajomulco de Zúñiga",2015,"Abuso sexual",6,8,11,10,7,16,15,23,10,16,16,21,159
"165","Tolimán",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Tomatlán",2015,"Abuso sexual",1,1,0,0,0,0,1,2,1,0,1,3,10
"167","Tonalá",2015,"Abuso sexual",7,11,9,6,8,5,11,11,5,11,14,17,115
"168","Tonaya",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Tonila",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Totatiche",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Tototlán",2015,"Abuso sexual",1,0,0,2,0,0,0,0,0,0,0,0,3
"172","Tuxcacuesco",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Tuxcueca",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"174","Tuxpan",2015,"Abuso sexual",0,1,2,1,3,1,0,1,1,1,0,0,11
"175","Unión de San Antonio",2015,"Abuso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"176","Unión de Tula",2015,"Abuso sexual",0,2,0,0,0,0,0,0,0,0,0,0,2
"177","Valle de Guadalupe",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Valle de Juárez",2015,"Abuso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"179","Villa Corona",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Villa Guerrero",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"181","Villa Hidalgo",2015,"Abuso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"182","Villa Purificación",2015,"Abuso sexual",0,0,0,1,0,0,0,0,2,1,1,0,5
"183","Yahualica de González Gallo",2015,"Abuso sexual",1,1,0,0,1,0,0,0,0,0,0,0,3
"184","Zacoalco de Torres",2015,"Abuso sexual",0,0,0,0,0,3,0,1,0,1,0,0,5
"185","Zapopan",2015,"Abuso sexual",22,16,19,19,13,19,15,16,15,23,45,19,241
"186","Zapotiltic",2015,"Abuso sexual",0,0,0,0,0,2,2,0,0,1,0,1,6
"187","Zapotitlán de Vadillo",2015,"Abuso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"188","Zapotlán del Rey",2015,"Abuso sexual",0,1,0,0,0,0,0,0,0,0,0,0,1
"189","Zapotlán el Grande",2015,"Abuso sexual",0,2,1,5,2,6,2,3,1,3,1,0,26
"190","Zapotlanejo",2015,"Abuso sexual",1,0,1,0,1,2,3,0,1,2,1,2,14
"191","Acatic",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Acatlán de Juárez",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Ahualulco de Mercado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"194","Amacueca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"195","Amatitán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"196","Ameca",2015,"Acoso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1
"197","Arandas",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"198","Atemajac de Brizuela",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Atengo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"200","Atenguillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"201","Atotonilco el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,1,1
"202","Atoyac",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"203","Autlán de Navarro",2015,"Acoso sexual",0,0,0,1,0,1,0,0,0,0,0,0,2
"204","Ayotlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"205","Ayutla",2015,"Acoso sexual",0,0,0,0,0,0,0,1,0,0,0,0,1
"206","Bolaños",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"207","Cabo Corrientes",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Cañadas de Obregón",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Casimiro Castillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"210","Chapala",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Chimaltitán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Chiquilistlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Cihuatlán",2015,"Acoso sexual",0,0,0,0,0,1,0,0,0,0,0,0,1
"214","Cocula",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Colotlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"216","Concepción de Buenos Aires",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Cuautitlán de García Barragán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Cuautla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"219","Cuquío",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"220","Degollado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"221","Ejutla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"222","El Arenal",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"223","El Grullo",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"224","El Limón",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"225","El Salto",2015,"Acoso sexual",1,0,0,0,1,0,0,0,0,0,0,0,2
"226","Encarnación de Díaz",2015,"Acoso sexual",0,0,1,0,0,0,0,0,0,0,0,0,1
"227","Etzatlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"228","Gómez Farías",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"229","Guachinango",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"230","Guadalajara",2015,"Acoso sexual",3,0,1,1,1,0,0,0,3,10,7,2,28
"231","Hostotipaquillo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"232","Huejúcar",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"233","Huejuquilla el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Ixtlahuacán de los Membrillos",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,1,0,0,1
"235","Ixtlahuacán del Río",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,1,0,1
"236","Jalostotitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"237","Jamay",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"238","Jesús María",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"239","Jilotlán de los Dolores",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"240","Jocotepec",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Juanacatlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"242","Juchitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"243","La Barca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"244","La Huerta",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"245","La Manzanilla de la Paz",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"246","Lagos de Moreno",2015,"Acoso sexual",2,1,1,0,0,1,0,3,0,0,0,0,8
"247","Magdalena",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"248","Mascota",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"249","Mazamitla",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"250","Mexticacán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"251","Mezquitic",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"252","Mixtlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"253","No Especificado",2015,"Acoso sexual",0,0,0,0,0,0,0,0,3,0,1,0,4
"254","Ocotlán",2015,"Acoso sexual",0,0,0,0,0,0,1,0,0,0,0,0,1
"255","Ojuelos de Jalisco",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"256","Pihuamo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"257","Poncitlán",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"258","Puerto Vallarta",2015,"Acoso sexual",1,1,0,0,1,0,1,0,0,1,1,2,8
"259","Quitupan",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"260","San Cristóbal de la Barranca",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"261","San Diego de Alejandría",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"262","San Gabriel",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"263","San Ignacio Cerro Gordo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"264","San Juan de los Lagos",2015,"Acoso sexual",0,0,1,0,0,0,0,0,1,0,0,0,2
"265","San Juanito de Escobedo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"266","San Julián",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"267","San Marcos",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"268","San Martín de Bolaños",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"269","San Martín Hidalgo",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"270","San Miguel el Alto",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"271","San Pedro Tlaquepaque",2015,"Acoso sexual",0,0,0,0,0,0,1,1,1,3,2,2,10
"272","San Sebastián del Oeste",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"273","Santa María de los Ángeles",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"274","Santa María del Oro",2015,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
